text,labels,label_vector
"Page-start
 
ImmunizationContact UsCOVID-19 VaccineData and StatisticsAdult Vaccination CoverageAnnual School Self-Reports of Immunization CoverageVIRGINIA ANNUAL IMMUNIZATION SURVEY (VAIS)Assessments & CoCasaHealthy People 2030National Immunization Survey (NIS)Healthcare Personnel (HCP) and VaccinationsHuman Papillomavirus (HPV) VaccineInternational TravelIQIPPertussis Prevention in VirginiaSchool RequirementsSeasonal InfluenzaVaccine InformationACIP Vaccine Recommendations and GuidelinesACIP Recommended Immunization SchedulesVaccine Information StatementsVaccine Preventable Disease SurveillanceVaccine SafetyVirginia Immunization Information System (VIIS)Virginia Perinatal Hepatitis B Prevention (VPHBP) ProgramVirginia Vaccines for Adults (VVFA)The BackPageVVFA EnrollmentVVFA FormsHandbookLocate A VVFA ProviderVVFA ResourcesVVFA Storage And HandlingVirginia Vaccines for Children (VVFC)The BackPageEnroll NowFormsHandbookLocate A VVFC ProviderVVFC TrainingResourcesStorage and HandlingWorksite Wellness through ImmunizationVFC Internal Map (Staff Only)",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"HPV VACCINE IS CANCER PREVENTION
 
The HPV Vaccine: Safe. Effective. Cancer prevention.","['Cancer Prevention', 'Highly Effective', 'Stance-Recommend']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"HPV and Cancer
 
Infection with certain strains of HPV can lead to cancer. Most HPV infections will go away--and many infections might not even result in noticeable symptoms. However, some HPV infections will last longer and can develop into cancer. The most common cancers caused by HPV include cancers of the cervix, vagina, and vulva in women, cancer of the penis in men, and cancers of the throat and the anus in men and women.","['Asymptomatic', 'Cause of Cervical Cancer', 'Cause of Cancer']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Vaccine
 
The HPV vaccine is safe and very effective. It prevents against nine different types (strains) of HPV that are most commonly associated with HPV-related cancers.","['Cancer Prevention', 'Prevent Spread', 'Highly Effective']","[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"HPV Vaccine
 
The vaccine is given as a two or three dose series (depending on age) during adolescence. It is important to receive the vaccine during this stage in life because adolescents have likely not yet been exposed to or infected with HPV and because their immune systems are capable of producing a strong immune response to the vaccine.","['Number Doses', 'Rec-Children']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
"Parents play a key role in HPV vaccination!
 
Parents play a key role in the health of their children--and that includes vaccinations like the HPV vaccine. Parents are encouraged to talk with their children and their children's doctor about the importance of HPV vaccination. Because the human papillomavirus is not communicable in a school setting, a parent or guardian, at the parent's or guardian's sole discretion, may elect for the parent's or guardian's child not to receive the HPV vaccine, after reviewing educational materials provided by the Board of Health describing the link between the human papillomavirus and cervical cancer.","['Cause of Cervical Cancer', 'Cause of Cancer', 'Prevent Spread', 'Rec-Children', 'Stance-Optional', 'Source Credibility']","[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]"
"HPV Vaccine is important for students
 
For more information about the HPV vaccine requirements, please read the letter from the State Health Commissioner which explains more about HPV vaccination for students and a helpful infographic is also available which contains more information and HPV vaccine and cancer prevention.","['Cancer Prevention', 'Rec-Children']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"HPV Vaccine Requirements
 
HPV vaccine is a Code-required vaccine for all students who attend public and private schools in Virginia. For information about school immunization requirements, please visit theVDH School Requirementspage on the Division of Immunization website.",['Rec-Children'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"2 Dose Decision Tree
 
Here is a simple and easy resource to help determine if a patient needs a 2 or 3 dose series of HPV vaccine.Click here.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Dental Health and HPV
 
Did you know that the human papillomavirus (HPV) can cause oropharyngeal cancer? ClickHEREfor a guide about HPV and oral health.",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Earn FREE CE Credits and Prevent Cancer
 
Physicians, registered nurses and pharmacists you have the opportunity to earn 1 CE for FREE from The National AHEC Organization! In 1 hour you will learn how to give an effective HPV vaccine recommendation to adolescents, successfully communicate with adolescents and their parents about the HPV vaccine, and receive up-to-date HPV vaccine, infection, and disease information you become the key to cancer prevention!Click hereto learn cancer prevention strategies and earn FREE CE’s.","['Cancer Prevention', 'Source Credibility']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Page-start
 
HPV Vaccine is Cancer Prevention","['Cancer Prevention', 'Highly Effective']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Page-start
 
HPV Vaccine is Cancer Prevention","['Cancer Prevention', 'Cause of Cancer', 'Highly Effective']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"HPV Vaccine is Cancer Prevention
 
HPV, or human papillomavirus, is a common virus that can lead to 6 types of cancers later in life for both men and women. It is spread from person to person through oral, anal, or vaginal sex, or other skin-to-skin touching during sexual activity. Although most HPV infections go away by themselves within 2 years, some last longer and can cause genital warts and certain types of cancer such as:","['Asymptomatic', 'Sexual Spread', 'Cause of Cancer']","[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Vaccine is Cancer Prevention
 
cervical, vaginal, vulvar, and penile; and",['Cancer Prevention'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Teens and Adults
 
Men and womenthrough age 26 should get the HPV vaccine if not already vaccinated. Adults aged 27 through 45 who haven’t gotten the HPV vaccine should talk to their doctor about their risk for new HPV infections.",['Rec-Male Femle'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Why get the HPV vaccine?
 
Learn more reasonsto be vaccinated!",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Where to get the HPV vaccine?
 
Contact yourlocal county health department’sFamily Planning Program or call 1-800-654-1385 to schedule your HPV vaccination today!",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Where to get the HPV vaccine?
 
For more information about early detection and protection against HPV-related cancers, visit the CDC'sGynecologic Cancersand/or ourBreast and Cervical Cancer Early Detection.",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Connecticut StateDepartment of Public Health
 
Current:Connecticut Department Of Public Health’s Comprehensive Cancer Control  Program Calls On Parents and Guardians To Vaccinate Their Kids Against HPV","['Rec-Children', 'Stance-Recommend', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
"Connecticut Department Of Public Health’s Comprehensive Cancer Control  Program Calls On Parents and Guardians To Vaccinate Their Kids Against HPV
 
FOR IMMEDIATE RELEASE: Aug.16, 2022","['Rec-Children', 'Stance-Recommend', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
"Connecticut Department Of Public Health’s Comprehensive Cancer Control  Program Calls On Parents and Guardians To Vaccinate Their Kids Against HPV
 
CONTACT:Chris Boyle, Director of Communications","['Rec-Children', 'Stance-Recommend', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
"Connecticut Department Of Public Health’s Comprehensive Cancer Control  Program Calls On Parents and Guardians To Vaccinate Their Kids Against HPV
 
HARTFORD, Conn.—The Connecticut Department of Public Health’s Comprehensive Cancer Control Program is calling on all parents and guardians to get children under their care from 11 years of age and older to be vaccinated against HPV.","['Rec-Children', 'Stance-Recommend', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
